NUMBER,S1_s_mean,S1_s_min,S2_s_mean,S2_s_min,S3_s_mean,S3_s_min,is_our_car
2,26.891785714285714,26.629,42.596892857142855,42.314,28.844178571428568,28.565,True
3,27.24267857142857,26.886,43.12746428571428,42.811,29.281928571428573,28.967,False
5,26.971607142857145,26.638,42.83253571428571,42.56,29.126714285714286,28.865,False
7,26.9725,26.65,42.85785714285714,42.476,29.031964285714285,28.82,False
13,26.72085714285714,26.544,42.379357142857145,42.197,28.65028571428571,28.332,False
18,27.849703703703703,27.28,43.68937037037037,43.142,30.19814814814815,29.29,False
21,26.90292857142857,26.618,42.80264285714286,42.515,28.955071428571426,28.734,False
22,26.681785714285716,26.505,42.37489285714286,42.098,28.702178571428572,28.479,False
31,27.437851851851853,26.693,42.75555555555556,42.37,32.425444444444445,28.629,False
41,27.189285714285713,26.619,42.686035714285715,42.346,29.683249999999997,28.713,False
46,26.971750000000004,26.675,42.712714285714284,42.432,28.811928571428574,28.62,False
47,26.992428571428572,26.616,42.783821428571436,42.404,28.838785714285713,28.595,False
51,27.25492857142857,26.729,43.089642857142856,42.703,29.247178571428574,28.761,False
55,26.938499999999998,26.639,42.54626923076923,42.261,28.896076923076922,28.691,False
58,27.883111111111113,26.859,43.73733333333333,42.775,33.25948148148148,28.977,False
72,26.867607142857143,26.586,42.639178571428566,42.392,28.982785714285715,28.714,False
80,27.713962962962963,26.912,43.371,42.798,32.81125925925926,29.014,False
88,27.070607142857142,26.668,42.76267857142857,42.416,29.036535714285716,28.663,False
93,29.3905,26.918,43.69520833333333,42.874,43.52420833333333,29.082,False
98,27.345,26.64,42.80203571428571,42.27,30.39575,28.512,False
111,27.017892857142858,26.759,42.93196428571429,42.518,28.945178571428574,28.667,False
113,27.442833333333336,26.69,43.281625,42.627,48.242041666666665,28.633,False
